2022-06-15 11:46:15 [com.xxl.job.core.thread.JobThread#run]-[133]-[xxl-job, JobThread-3-1655264775822] <br>----------- xxl-job job execute start -----------<br>----------- Param:
2022-06-15 12:50:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:51:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:51:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:52:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:52:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:53:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:53:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:54:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:54:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:55:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:55:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:56:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:56:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:57:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:57:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:58:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:58:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:59:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
